"world_rank","university_name","national_rank","total_score","alumni","award","hici","ns","pub","pcp","year","lon","lat"
"153-202","Joseph Fourier University (Grenoble 1)","6-8",NA,0,15.8,11.1,14.4,32.5,17.2,2005,5.7180539,45.1924776
"153-202","Mount Sinai School of Medicine","72-90",NA,0,0,19.2,18.3,34,18.3,2005,-73.9534,40.789756
"153-202","National Autonomous University of Mexico","1",NA,16.6,0,7.9,15.1,49,22.6,2005,-99.1843676,19.3188895
"153-202","National Taiwan University","1",NA,15.4,0,7.9,7.3,53.2,15.8,2005,121.518577,25.041471
"153-202","Oregon Health and Science University","72-90",NA,0,0,17.6,23.9,35.2,19.6,2005,-122.6859419,45.499045
"153-202","Queen's University","6-8",NA,0,0,19.2,17,35.2,18.5,2005,-80.832967,35.1888373
"153-202","Rensselaer Polytechnic Institute","72-90",NA,16.6,0,19.2,12.2,26.8,24.7,2005,-73.6788026,42.730172
"153-202","Swiss Federal Institute of Technology of Lausanne","5-6",NA,0,0,17.6,18.1,38.7,38.7,2005,6.5667576,46.5190557
"153-202","Technical University of Denmark","3",NA,8.9,12.9,17.6,11.8,30.6,16.9,2005,9.9785216,57.0149963
"153-202","The University of Alabama at Birmingham","72-90",NA,0,0,17.6,14.2,43.5,23.2,2005,-86.8059187,33.5008055
"153-202","The University of Calgary","6-8",NA,0,0,11.1,16,44.2,20.5,2005,-114.1358007,51.0781599
"153-202","The University of Connecticut - Storrs","72-90",NA,15.4,0,17.6,12,37.8,19.6,2005,-72.2539805,41.8077414
"153-202","The University of Texas Health Science Center at Houston","72-90",NA,0,15.8,17.6,16.8,29.7,17.6,2005,-95.4028678,29.7029331
"153-202","The University of Texas M. D. Anderson Cancer Center","72-90",NA,0,0,23.6,12.4,39.5,20.2,2005,-95.3969227,29.7071429
"153-202","The University of Western Australia","5-6",NA,0,0,20.8,13.8,40.1,21,2005,115.8199096,-31.981179
"153-202","Tsinghua University","1",NA,14,0,0,9.9,55.7,19.1,2005,116.3246671,39.9990443
"153-202","University of Barcelona","1-2",NA,0,0,11.1,14.1,46.3,21.1,2005,-117.8207002,33.6766692
